dataset,task,seed,mechanism,rate,imputer,model,accuracy,macro_f1,weighted_f1,imp_mae_num,imp_rmse_num,imp_acc_cat,imp_n_num,imp_n_cat,mae,rmse,r2
adult,classification,42,NONE,0.0,baseline_dropna,logistic_regression,0.8080663322755656,0.769219639176091,0.8185824655123246,,,,,,,,
adult,classification,42,NONE,0.0,baseline_dropna,random_forest,0.8549493295117208,0.7878495601295492,0.8500518035702845,,,,,,,,
adult,classification,42,NONE,0.0,baseline_dropna,lightgbm,0.8359095096734569,0.7996907300034428,0.8440966628054123,,,,,,,,
adult,classification,42,MCAR,0.01,dropna,logistic_regression,0.8071783123329515,0.7719519843254474,0.8168632710370872,,,,,,,,
adult,classification,42,MCAR,0.01,dropna,random_forest,0.7925416825760468,0.7623863854958162,0.8048020355868731,,,,,,,,
adult,classification,42,MCAR,0.01,dropna,lightgbm,0.8332696958126511,0.8001874916038394,0.8409271343846,,,,,,,,
adult,classification,42,MCAR,0.01,simple_mean,logistic_regression,0.8083734261439247,0.769844230399221,0.8189383494704684,13315.47649930759,17819.938684554872,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,simple_mean,random_forest,0.7914832633841744,0.7580803652615203,0.8049456435366381,13315.47649930759,17819.938684554872,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,simple_mean,lightgbm,0.8327362063670796,0.7959686512631718,0.8411235001043106,13315.47649930759,17819.938684554872,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,simple_median,logistic_regression,0.8083734261439247,0.7699367683544676,0.8189620371052077,13028.428586751385,17868.661772422067,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,simple_median,random_forest,0.7918927218753199,0.7585127767601096,0.8053200621322918,13028.428586751385,17868.661772422067,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,simple_median,lightgbm,0.8337598525949432,0.7974318026554921,0.8421547319138011,13028.428586751385,17868.661772422067,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,simple_freq,logistic_regression,0.8078616030299929,0.7692991026508429,0.8184725664543008,13624.31299522851,18069.201386857585,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,simple_freq,random_forest,0.7893336063056607,0.7561226141514326,0.803041777269736,13624.31299522851,18069.201386857585,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,simple_freq,lightgbm,0.8331456648582249,0.7966404195854924,0.8415597755106017,13624.31299522851,18069.201386857585,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,simple_const,logistic_regression,0.8070426860477019,0.7691930999452581,0.8179210933779544,31213.636060627105,36336.52132849862,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,simple_const,random_forest,0.7860579383764971,0.7532742157833272,0.8001620279616518,31213.636060627105,36336.52132849862,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,simple_const,lightgbm,0.8347834988228069,0.7988065822616827,0.8431615655697934,31213.636060627105,36336.52132849862,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,knn_3,logistic_regression,0.808475790766711,0.7698977007909813,0.8190172538525793,14631.501431978408,19515.67252683153,0.5663806069372929,2350.0,3059.0,,,
adult,classification,42,MCAR,0.01,knn_3,random_forest,0.7898454294195926,0.7563948730022234,0.8034566641164945,14631.501431978408,19515.67252683153,0.5663806069372929,2350.0,3059.0,,,
