dataset,mechanism,rate,imputer,model,mae,rmse,r2
communities_crime,NONE,0.0,none,ridge_regression,0.15789988098537183,0.2059467445092666,0.40958889197672865
communities_crime,NONE,0.0,none,random_forest,0.10867802203067528,0.1433880786939234,0.7137992626901062
communities_crime,MCAR,0.01,simple,ridge_regression,0.14767321568386205,0.1985907061429193,0.4510124477900288
communities_crime,MCAR,0.01,simple,random_forest,0.11155540652923465,0.14856984967336853,0.6927400008219626
communities_crime,MCAR,0.01,iterative,ridge_regression,0.1594706936999057,0.20715823616389675,0.40262221754907457
communities_crime,MCAR,0.01,iterative,random_forest,0.10974089596045294,0.1470959911476808,0.6988059896659045
communities_crime,MCAR,0.05,simple,ridge_regression,0.18045096008812575,0.23671136650002267,0.2200210497084042
communities_crime,MCAR,0.05,simple,random_forest,0.11497219071162468,0.148560621069441,0.6927781713225531
communities_crime,MCAR,0.05,iterative,ridge_regression,0.16321791892448978,0.21209357273496093,0.37381930687632536
communities_crime,MCAR,0.05,iterative,random_forest,0.10929117081124894,0.14549553806510154,0.7053245149325416
communities_crime,MCAR,0.1,simple,ridge_regression,0.21263169824781308,0.25620882360541536,0.08623857105733035
communities_crime,MCAR,0.1,simple,random_forest,0.12152183063702185,0.15797728662416155,0.652596685486021
communities_crime,MCAR,0.1,iterative,ridge_regression,0.1606626957252089,0.2025789897228851,0.4287404688679355
communities_crime,MCAR,0.1,iterative,random_forest,0.10996366947912586,0.14851503757115425,0.6929666748049526
communities_crime,MCAR,0.15,simple,ridge_regression,0.17299729061182398,0.2229438587862194,0.3081121809597921
communities_crime,MCAR,0.15,simple,random_forest,0.12022318637464174,0.15432298344153894,0.6684829428180379
communities_crime,MCAR,0.15,iterative,ridge_regression,0.15706977052181653,0.1973162793586366,0.4580359336462565
communities_crime,MCAR,0.15,iterative,random_forest,0.10604538764187199,0.14595331637300046,0.7034672997755125
communities_crime,MCAR,0.2,simple,ridge_regression,0.16231185621444932,0.21440437059737158,0.3601002721447646
communities_crime,MCAR,0.2,simple,random_forest,0.12464245435980334,0.15833304594556916,0.6510302434681439
communities_crime,MCAR,0.2,iterative,ridge_regression,0.15525574076458698,0.20357127327540808,0.42313041296639475
communities_crime,MCAR,0.2,iterative,random_forest,0.11455924963335624,0.15066516426669815,0.6840121702981635
communities_crime,MCAR,0.25,simple,ridge_regression,0.15672654164835848,0.2105005806768662,0.3831902165584137
communities_crime,MCAR,0.25,simple,random_forest,0.12058603819945099,0.1562207163259873,0.6602793808454832
communities_crime,MCAR,0.25,iterative,ridge_regression,0.15682973005867362,0.19310386376136932,0.48092921710768766
communities_crime,MCAR,0.25,iterative,random_forest,0.1129679724555504,0.1474400498177446,0.6973953515696868
communities_crime,MCAR,0.3,simple,ridge_regression,0.24576002285238202,0.42729922840242907,-1.5416097882685933
communities_crime,MCAR,0.3,simple,random_forest,0.12879130972740502,0.16468810033913986,0.6224546747076403
communities_crime,MCAR,0.3,iterative,ridge_regression,0.20609763777809859,0.3982812448059514,-1.208128630607233
communities_crime,MCAR,0.3,iterative,random_forest,0.1203613664388685,0.1545308355977653,0.6675893242849038
communities_crime,MAR,0.01,simple,ridge_regression,0.16527491300885988,0.20814897106292476,0.3968946319750254
communities_crime,MAR,0.01,simple,random_forest,0.10907799977187846,0.1433307789814261,0.7140279559461225
communities_crime,MAR,0.01,iterative,ridge_regression,0.15942893366987598,0.20688639589760494,0.4041889888315
communities_crime,MAR,0.01,iterative,random_forest,0.10934764867465048,0.1434989755557466,0.7133563941148942
communities_crime,MAR,0.05,simple,ridge_regression,0.1484872071845834,0.19241059766285853,0.48464957991783963
communities_crime,MAR,0.05,simple,random_forest,0.11662207842916836,0.14609535753171562,0.7028898501523811
communities_crime,MAR,0.05,iterative,ridge_regression,0.16002212728348414,0.21117490628458682,0.37923206276357146
communities_crime,MAR,0.05,iterative,random_forest,0.11551553029986761,0.15252147435032185,0.6761777793610615
communities_crime,MAR,0.1,simple,ridge_regression,0.16873294450131085,0.21832512085823383,0.3364829675076947
communities_crime,MAR,0.1,simple,random_forest,0.11179595587891641,0.14849915611243417,0.6930323365243934
communities_crime,MAR,0.1,iterative,ridge_regression,0.1721051470335098,0.2152928006263094,0.3547861640873615
communities_crime,MAR,0.1,iterative,random_forest,0.11463714365769365,0.15390676663701078,0.6702687675037469
communities_crime,MAR,0.15,simple,ridge_regression,0.17818155754757797,0.230152482699345,0.2626460937233279
communities_crime,MAR,0.15,simple,random_forest,0.1205710919340102,0.16053534076333498,0.6412549100664866
communities_crime,MAR,0.15,iterative,ridge_regression,0.16293003340001191,0.20366847070179275,0.4225794155294331
communities_crime,MAR,0.15,iterative,random_forest,0.11426140300924995,0.15209885040287005,0.6779698603642405
communities_crime,MAR,0.2,simple,ridge_regression,0.1776922537153207,0.23448920314595822,0.23459664984054185
communities_crime,MAR,0.2,simple,random_forest,0.11728227527569876,0.15372591163926974,0.6710432429226878
communities_crime,MAR,0.2,iterative,ridge_regression,0.14877062689225384,0.20276788726898534,0.42767461465847834
communities_crime,MAR,0.2,iterative,random_forest,0.11622312457558781,0.14855307194585193,0.692809393548344
communities_crime,MAR,0.25,simple,ridge_regression,0.20310005568671705,0.2539040167607052,0.10260468037739756
communities_crime,MAR,0.25,simple,random_forest,0.11972980284299525,0.15369165342749694,0.6711898442914849
communities_crime,MAR,0.25,iterative,ridge_regression,0.1540008472763103,0.18970526343715152,0.4990395751196295
communities_crime,MAR,0.25,iterative,random_forest,0.11058358556632815,0.15020689079092597,0.685931507279367
communities_crime,MAR,0.3,simple,ridge_regression,0.19963413659670032,0.2623067854693586,0.04222453490243572
communities_crime,MAR,0.3,simple,random_forest,0.12081893421368078,0.1587533335292083,0.6491751371504788
communities_crime,MAR,0.3,iterative,ridge_regression,0.17130578907972857,0.24089732431866856,0.19219114458591924
communities_crime,MAR,0.3,iterative,random_forest,0.11552924571190654,0.14745413224083717,0.6973375435290107
communities_crime,MNAR,0.01,simple,ridge_regression,0.138231886340977,0.1786659145775908,0.5556470468077901
communities_crime,MNAR,0.01,simple,random_forest,0.1108695540348231,0.14588582982327145,0.7037414606196121
communities_crime,MNAR,0.01,iterative,ridge_regression,0.154280886261548,0.20185246319924924,0.43283063600247984
communities_crime,MNAR,0.01,iterative,random_forest,0.11132256892424333,0.14612494626932143,0.7027694903456638
communities_crime,MNAR,0.05,simple,ridge_regression,0.17281680859658868,0.21244559010350175,0.3717390042925346
communities_crime,MNAR,0.05,simple,random_forest,0.1137699038371552,0.14765381259776156,0.6965172658325445
communities_crime,MNAR,0.05,iterative,ridge_regression,0.1521981542919987,0.19892223394523323,0.44917795553499007
communities_crime,MNAR,0.05,iterative,random_forest,0.11020918783189393,0.1453630947263917,0.705860751881924
communities_crime,MNAR,0.1,simple,ridge_regression,0.17494228573717607,0.2246085813500926,0.29774094649450067
communities_crime,MNAR,0.1,simple,random_forest,0.11026439966897793,0.14046257404119855,0.7253586641631666
communities_crime,MNAR,0.1,iterative,ridge_regression,0.16212342527290094,0.21302630950846038,0.3682996106997548
communities_crime,MNAR,0.1,iterative,random_forest,0.104825367299045,0.1401075885774168,0.7267450902156923
communities_crime,MNAR,0.15,simple,ridge_regression,0.17994566646533788,0.21613821516114332,0.3497089470242535
communities_crime,MNAR,0.15,simple,random_forest,0.1128888352059286,0.14831681688902554,0.6937857129504792
communities_crime,MNAR,0.15,iterative,ridge_regression,0.15997615405779292,0.22116945406115798,0.3190817896185447
communities_crime,MNAR,0.15,iterative,random_forest,0.1157534477162246,0.15225913416835243,0.6772907835643929
communities_crime,MNAR,0.2,simple,ridge_regression,0.1806830131173824,0.23557951110000067,0.22746228713188532
communities_crime,MNAR,0.2,simple,random_forest,0.11992632913194062,0.15861168653403618,0.6498009018791491
communities_crime,MNAR,0.2,iterative,ridge_regression,0.16282565578768698,0.20504155420515807,0.41476751154208635
communities_crime,MNAR,0.2,iterative,random_forest,0.12218499567934389,0.15911830625069787,0.6475601954627703
