,,,,,,accuracy,accuracy,macro_f1,macro_f1,weighted_f1,weighted_f1,imp_mae_num,imp_mae_num,imp_rmse_num,imp_rmse_num,imp_acc_cat,imp_acc_cat,imp_n_num,imp_n_num,imp_n_cat,imp_n_cat,mae,mae,rmse,rmse,r2,r2
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,task,mechanism,rate,imputer,model,,,,,,,,,,,,,,,,,,,,,,
adult,classification,MAR,0.01,dropna,lightgbm,0.8348,0.0041,0.8022,0.0059,0.8427,0.0038,,,,,,,,,,,,,,,,
adult,classification,MAR,0.01,dropna,logistic_regression,0.8107,0.0013,0.7758,0.0026,0.8204,0.0016,,,,,,,,,,,,,,,,
adult,classification,MAR,0.01,dropna,random_forest,0.7912,0.0031,0.7607,0.0047,0.8038,0.0023,,,,,,,,,,,,,,,,
adult,classification,MAR,0.01,iterative,lightgbm,0.8344,0.0039,0.7989,0.0046,0.8429,0.0036,12817.0101,783.756,17764.1752,1279.3204,0.5618,0.0474,2358.0,4.5826,3077.0,13.7477,,,,,,
adult,classification,MAR,0.01,iterative,logistic_regression,0.8104,0.0042,0.7724,0.0056,0.8209,0.0041,12817.0101,783.756,17764.1752,1279.3204,0.5618,0.0474,2358.0,4.5826,3077.0,13.7477,,,,,,
adult,classification,MAR,0.01,iterative,random_forest,0.792,0.0033,0.7586,0.0033,0.8054,0.003,12817.0101,783.756,17764.1752,1279.3204,0.5618,0.0474,2358.0,4.5826,3077.0,13.7477,,,,,,
adult,classification,MAR,0.01,knn_3,lightgbm,0.832,0.004,0.7963,0.005,0.8408,0.0038,15607.3516,763.9616,21266.5814,1131.0613,0.5618,0.0474,2358.0,4.5826,3077.0,13.7477,,,,,,
adult,classification,MAR,0.01,knn_3,logistic_regression,0.8102,0.0039,0.7722,0.0052,0.8207,0.0038,15607.3516,763.9616,21266.5814,1131.0613,0.5618,0.0474,2358.0,4.5826,3077.0,13.7477,,,,,,
