dataset,task,mechanism,missing_rate,imputer,seed,logistic_regression__accuracy,logistic_regression__macro_f1,logistic_regression__weighted_f1,random_forest__accuracy,random_forest__macro_f1,random_forest__weighted_f1,lightgbm__accuracy,lightgbm__macro_f1,lightgbm__weighted_f1,ridge__mae,ridge__rmse,ridge__r2,random_forest__mae,random_forest__rmse,random_forest__r2,lightgbm__mae,lightgbm__rmse,lightgbm__r2
adult,classification,NONE,0.0,dropna,42,0.8091763405196241,0.7742666199497235,0.8190299698286431,0.7904919845218352,0.7603454610892633,0.8032065251092013,0.8310668877833057,0.7976652260988721,0.8391196421377024,,,,,,,,,
adult,classification,NONE,0.0,dropna,123,0.8037589828634605,0.7687806881938155,0.814129182221175,0.7922609176340519,0.7618542844952613,0.8047641402335113,0.8297401879491432,0.7968592660105402,0.8380711057912406,,,,,,,,,
adult,classification,NONE,0.0,dropna,777,0.8092868988391376,0.77610647537361,0.819568827879719,0.7921503593145384,0.7630244967500215,0.8049176090668809,0.8351575456053068,0.8031345442707016,0.843172074173973,,,,,,,,,
bank_marketing,classification,NONE,0.0,dropna,42,0.8247291268323773,0.7802325137203469,0.834120055095398,0.8291905672402804,0.7777216271192176,0.8360076454020106,0.8330146590184832,0.7895568324227804,0.8416696539365612,,,,,,,,,
bank_marketing,classification,NONE,0.0,dropna,123,0.8209050350541747,0.7710781816850707,0.8292775800875076,0.8432122370936902,0.7905038667124042,0.8477664546107517,0.8425748884639898,0.7956273859503221,0.849005197983814,,,,,,,,,
bank_marketing,classification,NONE,0.0,dropna,777,0.8177182919056724,0.7696049437482286,0.8269786015928792,0.8502230720203952,0.7997003504422221,0.8545187856571179,0.8489483747609943,0.8029601573126706,0.854833410503062,,,,,,,,,
air_quality_uci,regression,NONE,0.0,dropna,42,,,,,,,,,,0.47533110676867124,0.6534892902893513,0.9928225739843576,0.07251807228915658,0.23469339136798634,0.9990742504774179,0.18464446857408054,0.6724418124123471,0.9924002169363577
air_quality_uci,regression,NONE,0.0,dropna,123,,,,,,,,,,0.4182207727991066,0.5173026472555058,0.9953452987976907,0.05251807228915663,0.12473383711119392,0.9997293730949383,0.14203594265284927,0.3758554844534664,0.997542779162297
air_quality_uci,regression,NONE,0.0,dropna,777,,,,,,,,,,0.40865250191257174,0.5161006503373181,0.995648785734539,0.08003614457831283,0.211445113787427,0.9992696400263679,0.2192924574850648,0.6971843406493654,0.9920597001166538
communities_crime,regression,NONE,0.0,dropna,42,,,,,,,,,,0.15789988098537183,0.20594674450926656,0.4095888919767289,0.10867802203067528,0.1433880786939234,0.7137992626901062,0.12045371565801305,0.1511053445086496,0.6821631060690659
communities_crime,regression,NONE,0.0,dropna,123,,,,,,,,,,0.15665134562658356,0.2003014941843031,0.4897651752496407,0.13861221799912044,0.17092848207892536,0.6284385998522106,0.13636918476499177,0.17537587097826524,0.6088517417379149
communities_crime,regression,NONE,0.0,dropna,777,,,,,,,,,,0.13983455254091678,0.17939316531533164,0.5738861162992844,0.13331811474684152,0.1655911585517933,0.6369318199071818,0.12595005475503157,0.15915050251214602,0.6646255855811747
