dataset,mechanism,rate,imputer,model,mae,rmse,r2
communities_crime,NONE,0.0,none,ridge_regression,0.15789988098537183,0.2059467445092666,0.40958889197672865
communities_crime,NONE,0.0,none,random_forest,0.10867802203067528,0.1433880786939234,0.7137992626901062
communities_crime,MCAR,0.01,simple,ridge_regression,0.16970314634151085,0.21150757147174176,0.3772747228290725
communities_crime,MCAR,0.01,simple,random_forest,0.10879658508726256,0.14066831703746785,0.7245535114020463
communities_crime,MCAR,0.01,iterative,ridge_regression,0.15702823214885814,0.20309865453158646,0.42580586800736675
communities_crime,MCAR,0.01,iterative,random_forest,0.1096720077098219,0.14487547023288833,0.7078308383478313
communities_crime,MCAR,0.05,simple,ridge_regression,0.1767105208291193,0.22348357307833291,0.30475820883361204
communities_crime,MCAR,0.05,simple,random_forest,0.11194663080088692,0.14646198919400397,0.7013967613661822
communities_crime,MCAR,0.05,iterative,ridge_regression,0.14600309242082632,0.19151580868376764,0.4894316206097875
communities_crime,MCAR,0.05,iterative,random_forest,0.10900590561602239,0.1443431460950356,0.7099739611675614
communities_crime,MCAR,0.1,simple,ridge_regression,0.15779251906695158,0.19248894536428707,0.4842298032340693
communities_crime,MCAR,0.1,simple,random_forest,0.1192199264546477,0.15855739394275248,0.650040606314767
communities_crime,MCAR,0.1,iterative,ridge_regression,0.14917919466204022,0.18976295146755015,0.4987348517424276
communities_crime,MCAR,0.1,iterative,random_forest,0.11289307287942857,0.15017312918833697,0.6860726760889456
communities_crime,MCAR,0.15,simple,ridge_regression,0.16542690975449642,0.20771474320656944,0.3994083315168233
communities_crime,MCAR,0.15,simple,random_forest,0.11637192521636808,0.14532977923853715,0.7059955628477295
communities_crime,MCAR,0.15,iterative,ridge_regression,0.1687632814732718,0.20661823954732025,0.4057325119040456
communities_crime,MCAR,0.15,iterative,random_forest,0.11729690267706432,0.15316523312652666,0.6734384492323902
communities_crime,MCAR,0.2,simple,ridge_regression,0.17781024443138158,0.22540360095828757,0.29276074667646257
communities_crime,MCAR,0.2,simple,random_forest,0.12181630235687703,0.149765484744595,0.6877746722046167
communities_crime,MCAR,0.2,iterative,ridge_regression,0.1609545559210697,0.2129864084687133,0.3685362306912747
communities_crime,MCAR,0.2,iterative,random_forest,0.12063171143786768,0.15827597199732818,0.6512817827721564
communities_crime,MCAR,0.25,simple,ridge_regression,0.17339428474554286,0.22046211620936773,0.3234302114545484
communities_crime,MCAR,0.25,simple,random_forest,0.14010540084815093,0.17317630488182595,0.5825335347825762
communities_crime,MCAR,0.25,iterative,ridge_regression,0.17387061390499142,0.21175940135476226,0.37579095379537686
communities_crime,MCAR,0.25,iterative,random_forest,0.1151329206141081,0.15343296114062022,0.6722958128018812
communities_crime,MCAR,0.3,simple,ridge_regression,0.21858631392810846,0.27546854514636293,-0.056303424849618366
communities_crime,MCAR,0.3,simple,random_forest,0.1306979042456789,0.15582333164344184,0.6620055036222474
communities_crime,MCAR,0.3,iterative,ridge_regression,0.1757597473129579,0.21926815730249014,0.33073857937838447
communities_crime,MCAR,0.3,iterative,random_forest,0.10760854558635807,0.14345728958757878,0.7135229079260166
communities_crime,MAR,0.01,simple,ridge_regression,0.18133119673523096,0.23196555029007987,0.2509830590140236
communities_crime,MAR,0.01,simple,random_forest,0.10684676113364291,0.14442404444928825,0.7096487749043716
communities_crime,MAR,0.01,iterative,ridge_regression,0.15813799091359534,0.20806672241863597,0.39737116374139303
communities_crime,MAR,0.01,iterative,random_forest,0.10802763694690692,0.14498148544254982,0.707403081904245
communities_crime,MAR,0.05,simple,ridge_regression,0.16354352077934503,0.2024408395712285,0.4295193520195104
communities_crime,MAR,0.05,simple,random_forest,0.10872400099808815,0.13840682700096404,0.7333388902368987
communities_crime,MAR,0.05,iterative,ridge_regression,0.16789688185855317,0.20831088019614105,0.3959560133997275
communities_crime,MAR,0.05,iterative,random_forest,0.11174210110283421,0.1457887011098803,0.7041358187520326
communities_crime,MAR,0.1,simple,ridge_regression,0.18056384013749457,0.22808515202217414,0.2758330741326771
communities_crime,MAR,0.1,simple,random_forest,0.11387952472325306,0.14251298991101113,0.7172819345178578
communities_crime,MAR,0.1,iterative,ridge_regression,0.1831708218901226,0.22739363081907144,0.2802175563138989
communities_crime,MAR,0.1,iterative,random_forest,0.10744771213797778,0.14210419026605423,0.7189015662566417
communities_crime,MAR,0.15,simple,ridge_regression,0.15361431150072577,0.20126132386079712,0.4361477635450023
communities_crime,MAR,0.15,simple,random_forest,0.10273296451021405,0.14080255297648528,0.7240275584247822
communities_crime,MAR,0.15,iterative,ridge_regression,0.1487198985990787,0.19062034345131035,0.49419495984226414
communities_crime,MAR,0.15,iterative,random_forest,0.10881044420550853,0.14572189200746294,0.7044069219466993
communities_crime,MAR,0.2,simple,ridge_regression,0.20604999554945905,0.2493545613547028,0.13447564849334848
communities_crime,MAR,0.2,simple,random_forest,0.12170853483703117,0.15674271869281278,0.6580052747136592
communities_crime,MAR,0.2,iterative,ridge_regression,0.15135045435667935,0.19397678992554215,0.4762256901900357
communities_crime,MAR,0.2,iterative,random_forest,0.10798785633476225,0.14453608299360288,0.709198113843302
communities_crime,MAR,0.25,simple,ridge_regression,0.22556129067604655,0.2978215321966474,-0.23468691165063782
communities_crime,MAR,0.25,simple,random_forest,0.10892324559304001,0.1466070181906206,0.7008051052029254
communities_crime,MAR,0.25,iterative,ridge_regression,0.15859555801818842,0.20555469847818814,0.41183459891746377
communities_crime,MAR,0.25,iterative,random_forest,0.10657971048239516,0.1424020514214252,0.717721923988144
communities_crime,MAR,0.3,simple,ridge_regression,0.14983228361396456,0.19799141092874348,0.4543208522192499
communities_crime,MAR,0.3,simple,random_forest,0.11898357827049849,0.14877150154471477,0.6919053549984988
communities_crime,MAR,0.3,iterative,ridge_regression,0.14890212750245158,0.19488921874924595,0.4712866377652135
communities_crime,MAR,0.3,iterative,random_forest,0.10579843298706043,0.14412879708010007,0.7108346966951438
communities_crime,MNAR,0.01,simple,ridge_regression,0.16720233665724113,0.21288764102971086,0.36912174785084584
communities_crime,MNAR,0.01,simple,random_forest,0.10483558252679716,0.1411152232312057,0.7228005326498049
communities_crime,MNAR,0.01,iterative,ridge_regression,0.15699075204048274,0.20510003312887937,0.414433641204603
communities_crime,MNAR,0.01,iterative,random_forest,0.10563967794529106,0.14271628011903492,0.7164747827395392
communities_crime,MNAR,0.05,simple,ridge_regression,0.1688036128437085,0.21477396124873036,0.35789225001390057
communities_crime,MNAR,0.05,simple,random_forest,0.1150859672852732,0.15446383828990207,0.6678774970957815
communities_crime,MNAR,0.05,iterative,ridge_regression,0.1557021515432078,0.19899496130341382,0.44877511313367446
communities_crime,MNAR,0.05,iterative,random_forest,0.11402163468552484,0.14690435348725,0.6995902736691068
communities_crime,MNAR,0.1,simple,ridge_regression,0.17112188533396935,0.21769002653865432,0.34033761317814115
communities_crime,MNAR,0.1,simple,random_forest,0.10420569832509897,0.1412880429469367,0.7221211606258907
communities_crime,MNAR,0.1,iterative,ridge_regression,0.15288322231450063,0.18917836181170375,0.5018185206331758
communities_crime,MNAR,0.1,iterative,random_forest,0.10686640173879486,0.1443594719157067,0.7099083511126696
communities_crime,MNAR,0.15,simple,ridge_regression,0.14075184422914017,0.18389145090554848,0.5292744885174159
communities_crime,MNAR,0.15,simple,random_forest,0.105242771451112,0.13678650955669405,0.7395459035752765
communities_crime,MNAR,0.15,iterative,ridge_regression,0.1412898486387948,0.1809876121111269,0.5440236083511223
communities_crime,MNAR,0.15,iterative,random_forest,0.10399832962171435,0.13853440441318352,0.7328470703735166
communities_crime,MNAR,0.2,simple,ridge_regression,0.1766649673858509,0.2254170500434223,0.2926763469183883
communities_crime,MNAR,0.2,simple,random_forest,0.10905019750880422,0.14379396693840846,0.712176674109519
communities_crime,MNAR,0.2,iterative,ridge_regression,0.17740804787026385,0.21914409576350946,0.3314956990061708
communities_crime,MNAR,0.2,iterative,random_forest,0.11154144118884926,0.14568434488558327,0.7045592290478224
