,dataset,rate,mae_mean,r2_mean,r2_std
0,air_quality_uci,0.01,0.1027,0.996,0.0064
1,air_quality_uci,0.05,0.2133,0.9852,0.0298
2,air_quality_uci,0.1,0.3507,0.9766,0.0398
3,air_quality_uci,0.15,0.5307,0.9563,0.0812
4,air_quality_uci,0.2,0.7923,0.8491,0.5975
5,air_quality_uci,0.25,0.9761,0.8525,0.3294
6,air_quality_uci,0.3,1.0525,-0.1083,6.0597
7,communities_crime,0.01,0.096,0.6234,0.0623
8,communities_crime,0.05,0.0938,0.6175,0.08
9,communities_crime,0.1,0.0939,0.6205,0.0201
10,communities_crime,0.15,0.0943,0.6162,0.0213
11,communities_crime,0.2,0.0948,0.6168,0.0245
12,communities_crime,0.25,0.0956,0.6113,0.0279
13,communities_crime,0.3,0.096,0.6101,0.0268
